token	BIEO	IOB2
The	O	O
roles	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
head	O	O
neck	O	O
neoplasms	O	O
well	O	O
reported	O	O
,	O	O
little	O	O
known	O	O
relationship	O	O
salivary	O	O
gland	O	O
tumours	O	O
.	O	O
		
This	O	O
study	O	O
investigated	O	O
presence	O	O
HPV	B-virus	B-virus
EBV	B-virus	B-virus
salivary	O	O
gland	O	O
diseases	O	O
.	O	O
